title,rating,people_count,year
肖申克的救赎,9.7,3239755,1994
霸王别姬,9.6,2390992,1993
泰坦尼克号,9.5,2461537,1997
阿甘正传,9.5,2400198,1994
千与千寻,9.4,2501701,2001
美丽人生,9.5,1463249,1997
星际穿越,9.4,2141784,2014
这个杀手不太冷,9.4,2524480,1994
盗梦空间,9.4,2294972,2010
楚门的世界,9.4,1984330,1998
辛德勒的名单,9.5,1232904,1993
忠犬八公的故事,9.4,1525874,2009
海上钢琴师,9.3,1857079,1998
疯狂动物城,9.3,2269963,2016
三傻大闹宝莱坞,9.2,2052178,2009
机器人总动员,9.3,1469104,2008
放牛班的春天,9.3,1454895,2004
无间道,9.3,1541834,2002
控方证人,9.6,716545,1957
大话西游之大圣娶亲,9.2,1689712,1995
熔炉,9.3,1024967,2011
寻梦环游记,9.1,1950446,2017
触不可及,9.3,1276058,2011
教父,9.3,1090294,1972
当幸福来敲门,9.1,1667950,2006
末代皇帝,9.3,1013725,1987
哈利·波特与魔法石,9.2,1398398,2001
龙猫,9.2,1395056,1988
活着,9.3,956853,1994
怦然心动,9.1,2026688,2010
蝙蝠侠：黑暗骑士,9.2,1178568,2008
指环王3：王者无敌,9.3,898116,2003
我不是药神,9.0,2325354,2018
乱世佳人,9.3,782065,1939
飞屋环游记,9.1,1479290,2009
让子弹飞,9.0,1898090,2010
哈尔的移动城堡,9.1,1269518,2004
十二怒汉,9.4,568932,1957
海蒂和爷爷,9.3,761668,2015
素媛,9.3,766817,2013
猫鼠游戏,9.1,1190275,2002
天空之城,9.2,996605,1986
鬼子来了,9.3,706037,2000
摔跤吧！爸爸,9.0,1725425,2016
少年派的奇幻漂流,9.1,1474811,2012
钢琴家,9.3,739081,2002
指环王2：双塔奇兵,9.2,845463,2002
死亡诗社,9.2,864129,1989
大话西游之月光宝盒,9.0,1349020,1995
何以为家,9.1,1151459,2018
绿皮书,8.9,1866708,2018
闻香识女人,9.1,1008982,1992
大闹天宫,9.4,502347,1961
黑客帝国,9.1,937119,1999
指环王1：护戒使者,9.1,947074,2001
罗马假日,9.1,1037481,1953
教父2,9.3,629653,1974
狮子王,9.1,948496,1994
天堂电影院,9.2,733636,1988
饮食男女,9.2,713269,1994
辩护人,9.2,651628,2013
本杰明·巴顿奇事,9.0,1092525,2008
搏击俱乐部,9.0,959171,1999
美丽心灵,9.1,845579,2001
穿条纹睡衣的男孩,9.2,634313,2008
情书,8.9,1305987,1995
哈利·波特与死亡圣器(下),9.0,957742,2011
两杆大烟枪,9.1,668177,1998
窃听风暴,9.2,625445,2006
音乐之声,9.1,675934,1965
功夫,8.9,1315991,2004
西西里的美丽传说,8.9,1082654,2000
哈利·波特与阿兹卡班的囚徒,9.0,877321,2004
阿凡达,8.8,1558410,2009
看不见的客人,8.8,1423534,2016
拯救大兵瑞恩,9.1,717024,1998
沉默的羔羊,8.9,1003462,1991
小鞋子,9.2,457807,1997
布达佩斯大饭店,8.9,1070925,2014
飞越疯人院,9.1,597580,1975
蝴蝶效应,8.9,1055071,2004
禁闭岛,8.9,1099554,2010
心灵捕手,9.0,805902,1997
致命魔术,8.9,953774,2006
低俗小说,8.9,946741,1994
还有明天,9.3,344236,2023
超脱,9.0,712819,2011
哈利·波特与密室,8.9,902926,2002
一一,9.1,495075,2000
喜剧之王,8.8,1082362,1999
摩登时代,9.3,342155,1936
杀人回忆,8.9,825532,2003
致命ID,8.9,935488,2003
春光乍泄,9.0,703285,1997
加勒比海盗,8.8,957986,2003
海豚湾,9.3,379911,2009
美国往事,9.1,466024,1984
红辣椒,9.0,560254,2006
七宗罪,8.8,1050157,1995
唐伯虎点秋香,8.8,1211295,1993
狩猎,9.1,462872,2012
幽灵公主,8.9,661275,1997
甜蜜蜜,8.9,663089,1996
寄生虫,8.8,1532195,2019
蝙蝠侠：黑暗骑士崛起,8.9,805687,2012
天书奇谭,9.2,328860,1983
7号房的礼物,8.9,616385,2013
超能陆战队,8.8,1133206,2014
爱在黎明破晓前,8.8,789438,1995
第六感,8.9,629727,1999
爱在日落黄昏时,8.9,645211,2004
被嫌弃的松子的一生,8.8,768743,2006
茶馆,9.6,203106,1982
重庆森林,8.8,914181,1994
哈利·波特与火焰杯,8.8,790342,2005
未麻的部屋,9.1,418332,1997
头脑特工队,8.8,792706,2015
借东西的小人阿莉埃蒂,8.9,621614,2010
入殓师,8.9,738150,2008
菊次郎的夏天,8.9,667948,1999
剪刀手爱德华,8.7,1113451,1990
断背山,8.8,775232,2005
勇敢的心,8.9,601698,1995
时空恋旅人,8.8,781644,2013
消失的爱人,8.7,1063274,2014
倩女幽魂,8.8,829147,1987
无人知晓,9.1,368491,2004
驯龙高手,8.8,855178,2010
花样年华,8.8,794271,2000
傲慢与偏见,8.7,919367,2005
新世界,8.9,519974,2013
完美的世界,9.1,357053,1993
阳光灿烂的日子,8.8,689476,1994
一个叫欧维的男人决定去死,8.9,561505,2015
玩具总动员3,8.9,585951,2010
小森林 夏秋篇,9.0,469655,2014
天使爱美丽,8.7,1015429,2001
怪兽电力公司,8.8,762424,2001
