id,title,company,city,location_raw,salary,publication_date,tags,category,job_type,url
2069746,Tech Lead Full-Stack Rails Engineer,Mitre Media,USA,"USA, Canada, USA timezones",$170k - $200k,2025-12-14T20:45:43,api|CSS|docker|elasticsearch|fullstack|html|javascript|kubernetes|postgresql|react|ror|ruby/rails|AI/ML|CAD|advertising|Redis|ES6|web applications|MySQL|NLP|fintech|Micro services|github|system architecture,Software Development,full_time,https://remotive.com/remote-jobs/software-development/tech-lead-full-stack-rails-engineer-2069746
2069747,Tech Lead Databricks Data Engineer,Mitre Media,USA,"USA, Canada, USA timezones",$160k - $180k,2025-12-14T20:45:33,apache|api|AWS|big data|cloud|java|python|scala|sql|AI/ML|documentation|CAD|CI/CD|analytics|advertising|spark|tableau|GCP|ETL|data engineering|SOLID|fintech|Micro services|backbone|github,Software Development,full_time,https://remotive.com/remote-jobs/software-development/tech-lead-databricks-data-engineer-2069747
2088265,Customer Service Rep in a Contractor Role / Pick Your Hours / Weekly Pay,Omni Interactions,USA,USA,up to $19/hour,2025-12-14T20:41:03,amazon|security|chat|insurance,Customer Service,contract,https://remotive.com/remote-jobs/customer-service/customer-service-rep-in-a-contractor-role-pick-your-hours-weekly-pay-2088265
2075915,Senior Full-stack Developer,Lemon.io,Americas,"Americas, Europe, Asia, Oceania",,2025-12-13T13:16:25,AWS|azure|django|fullstack|golang|javascript|node.js|php|python|react|react js|shopify|sql|swift|video|wordpress|blockchain|AI/ML|react native|rust|data analysis|Typescript|angular|GCP|startup|marketplace|next.js,Software Development,full_time,https://remotive.com/remote-jobs/software-development/senior-full-stack-developer-2075915
2087621,🇩🇪 CEO (m/w/d) Re-Think Hospitality,hostz hospitality AG,Germany,Germany,€80k-€110k,2025-12-12T14:59:14,backbone,All others,full_time,https://remotive.com/remote-jobs/all-others/ceo-m-w-d-re-think-hospitality-2087621
1680495,Office Assistant,Coalition Technologies ,Worldwide,Worldwide,"$31,2k- $52k",2025-12-11T20:31:37,CSS|excel|frontend|git|html|illustrator|magento|photoshop|php|shopify|wordpress|MySQL|startup|responsive|themes|bootstrap|insurance|jQuery|Ajax,Marketing,full_time,https://remotive.com/remote-jobs/marketing/office-assistant-1680495
2087132,"Executive Assistant & Accountability Partner (Full‑Time, Remote, ET Hours)",N/A,Worldwide,Worldwide,,2025-12-11T11:18:23,AI/ML|documentation|asana|executive assistant|SLA|travel,All others,full_time,https://remotive.com/remote-jobs/all-others/executive-assistant-accountability-partner-fulltime-remote-et-hours-2087132
1956455,iOS Developer,nooro,USA,USA,$60k-$130k (depending on experience),2025-12-09T21:16:18,api|backend|git|ios|security|swift|UI/UX|Figma|agile|healthcare|startup|core data|github|REST|MVVM|mobile development,Software Development,full_time,https://remotive.com/remote-jobs/software-development/ios-developer-1956455
2086540,Inside Sales Contractor,"Credit Wellness, LLC",Worldwide,Worldwide,OTE $25k - $35k,2025-12-09T15:17:30,CRM|google sheets|financial services|Inside Sales,Sales / Business,full_time,https://remotive.com/remote-jobs/sales-business/inside-sales-contractor-2086540
2086404,Content Marketing Manager,Baymard Institute,Europe,"Europe, UK, Germany, European timezones",,2025-12-08T12:41:09,"ecommerce|saas|seo|UI/UX|video|research|content marketing|analytics|google analytics|youtube|onboarding|ux research|hubspot|storyboard, storyboarding|travel|lever",Marketing,full_time,https://remotive.com/remote-jobs/marketing/content-marketing-manager-2086404
